x,y,z
2.385599911212921143e-02,9.976119995117187500e-01,-6.481400132179260254e-02
2.172799967229366302e-02,9.866219758987426758e-01,-5.656199902296066284e-02
2.414599992334842682e-02,9.862859845161437988e-01,-7.541900128126144409e-02
2.483399957418441772e-02,9.819899797439575195e-01,-5.350499972701072693e-02
-2.430006861686706543e-04,9.924690127372741699e-01,-6.962899863719940186e-02
1.782299950718879700e-02,9.771950244903564453e-01,-5.034000054001808167e-02
4.304299876093864441e-02,9.804480075836181641e-01,-7.013499736785888672e-02
2.207100018858909607e-02,9.735900163650512695e-01,-4.796100035309791565e-02
1.177600026130676270e-02,9.776520133018493652e-01,-8.350300043821334839e-02
3.650299832224845886e-02,9.777389764785766602e-01,-8.342099934816360474e-02
3.932699933648109436e-02,9.728729724884033203e-01,-4.748699814081192017e-02
4.550499841570854187e-02,9.702789783477783203e-01,-6.080700084567070007e-02
4.488800093531608582e-02,9.728289842605590820e-01,-8.324699848890304565e-02
5.924999713897705078e-03,9.689379930496215820e-01,-4.489000141620635986e-02
3.587000072002410889e-02,9.636859893798828125e-01,-4.142399877309799194e-02
4.804600030183792114e-02,9.597849845886230469e-01,-5.692600086331367493e-02
2.873600088059902191e-02,9.607539772987365723e-01,-9.932400286197662354e-02
-1.350500062108039856e-02,9.606779813766479492e-01,-6.471999734640121460e-02
3.542299941182136536e-02,9.570140242576599121e-01,-1.028259992599487305e-01
-2.376999706029891968e-03,9.559440016746520996e-01,-3.631300106644630432e-02
-1.594699919223785400e-02,9.542319774627685547e-01,-6.667000055313110352e-02
4.987100139260292053e-02,9.522460103034973145e-01,-9.366399794816970825e-02
3.558199852705001831e-02,9.461429715156555176e-01,-2.984400093555450439e-02
-9.560000151395797729e-03,9.524070024490356445e-01,-3.397899866104125977e-02
4.504299908876419067e-02,9.516900181770324707e-01,-1.078109964728355408e-01
5.300199985504150391e-02,9.393119812011718750e-01,-8.234299719333648682e-02
7.050000131130218506e-03,9.431290030479431152e-01,-2.785500138998031616e-02
4.906199872493743896e-02,9.499250054359436035e-01,-1.094629988074302673e-01
3.661499917507171631e-02,9.470630288124084473e-01,-1.121430024504661560e-01
4.750899970531463623e-02,9.405649900436401367e-01,-2.616300061345100403e-02
-8.985999971628189087e-03,9.435549974441528320e-01,-2.813600003719329834e-02
1.048700045794248581e-02,9.363920092582702637e-01,-2.340799942612648010e-02
9.581239819526672363e-01,-2.843200042843818665e-02,-5.691099911928176880e-02
9.475160241127014160e-01,-2.333799935877323151e-02,-5.528200045228004456e-02
9.443240165710449219e-01,-2.433400042355060577e-02,-5.611899867653846741e-02
9.535250067710876465e-01,-1.353199966251850128e-02,-5.696399882435798645e-02
9.544820189476013184e-01,-1.297700032591819763e-02,-5.705099925398826599e-02
9.485939741134643555e-01,-1.576299965381622314e-02,-5.544700101017951965e-02
9.443659782409667969e-01,-4.316199943423271179e-02,-5.479799956083297729e-02
9.570360183715820312e-01,-4.929700121283531189e-02,-5.728600174188613892e-02
9.358549714088439941e-01,-3.002200089395046234e-02,-5.534100160002708435e-02
9.550769925117492676e-01,-5.330700054764747620e-02,-5.644299834966659546e-02
9.438660144805908203e-01,-5.281800031661987305e-02,-5.472100153565406799e-02
9.281960129737854004e-01,-4.154599830508232117e-02,-5.463799834251403809e-02
9.297320246696472168e-01,-1.054900139570236206e-02,-5.255100131034851074e-02
9.245979785919189453e-01,-4.021500051021575928e-02,-5.430699884891510010e-02
9.354159832000732422e-01,-8.140001446008682251e-04,-5.342299863696098328e-02
9.524959921836853027e-01,-6.497199833393096924e-02,-5.686900019645690918e-02
9.214820265769958496e-01,-3.873400017619132996e-02,-5.128400027751922607e-02
9.394040107727050781e-01,-6.450500339269638062e-02,-5.566700175404548645e-02
9.495519995689392090e-01,-7.081600278615951538e-02,-5.659899860620498657e-02
9.325090050697326660e-01,1.009999960660934448e-02,-5.503400042653083801e-02
9.176579713821411133e-01,-5.116799846291542053e-02,-5.367000028491020203e-02
9.280790090560913086e-01,-6.653399765491485596e-02,-5.229699984192848206e-02
9.325720071792602539e-01,-6.997299939393997192e-02,-5.298700183629989624e-02
9.577530026435852051e-01,-7.950100302696228027e-02,-5.685399845242500305e-02
9.223859906196594238e-01,-6.543900072574615479e-02,-5.142199993133544922e-02
9.194880127906799316e-01,8.717998862266540527e-03,-5.097800120711326599e-02
9.028099775314331055e-01,-2.947999909520149231e-02,-4.841599985957145691e-02
9.282709956169128418e-01,-7.814300060272216797e-02,-5.464499816298484802e-02
9.139670133590698242e-01,-6.585299968719482422e-02,-5.012999847531318665e-02
9.041979908943176270e-01,-5.017700046300888062e-02,-4.862900078296661377e-02
9.045699834823608398e-01,-5.486699938774108887e-02,-5.246800184249877930e-02
9.136639833450317383e-01,-6.911200284957885742e-02,-5.008300021290779114e-02
-3.099820017814636230e-01,-7.088569998741149902e-01,3.075740039348602295e-01
-3.045090138912200928e-01,-7.135630249977111816e-01,3.075740039348602295e-01
-3.026359975337982178e-01,-7.231609821319580078e-01,3.051809966564178467e-01
-2.924169898033142090e-01,-7.119899988174438477e-01,3.075740039348602295e-01
-3.087390065193176270e-01,-7.267270088195800781e-01,3.057880103588104248e-01
-2.974289953708648682e-01,-7.247819900512695312e-01,3.075740039348602295e-01
-2.936759889125823975e-01,-6.961709856986999512e-01,3.075740039348602295e-01
-2.891719937324523926e-01,-7.034850120544433594e-01,3.038409948348999023e-01
-2.956089973449707031e-01,-6.916270256042480469e-01,3.044809997081756592e-01
-2.966350018978118896e-01,-6.891940236091613770e-01,3.056760132312774658e-01
-2.900330126285552979e-01,-7.222120165824890137e-01,3.039259910583496094e-01
-2.855120003223419189e-01,-6.985359787940979004e-01,3.075740039348602295e-01
-2.772519886493682861e-01,-7.153000235557556152e-01,3.026539981365203857e-01
-2.805419862270355225e-01,-6.820510029792785645e-01,3.075740039348602295e-01
-3.041850030422210693e-01,-7.496259808540344238e-01,3.053349852561950684e-01
-2.719720005989074707e-01,-6.916400194168090820e-01,3.075740039348602295e-01
-3.035309910774230957e-01,-7.501670122146606445e-01,3.052699863910675049e-01
-3.113470077514648438e-01,-7.539209723472595215e-01,3.053439855575561523e-01
-2.616319954395294189e-01,-6.956040263175964355e-01,3.075740039348602295e-01
-2.817319929599761963e-01,-7.504100203514099121e-01,3.030999898910522461e-01
-2.576200067996978760e-01,-7.145689725875854492e-01,3.007000088691711426e-01
-2.555750012397766113e-01,-7.141900062561035156e-01,3.004969954490661621e-01
-2.529999911785125732e-01,-7.214019894599914551e-01,3.075740039348602295e-01
-2.551009953022003174e-01,-7.327859997749328613e-01,3.075740039348602295e-01
-2.500500082969665527e-01,-7.075880169868469238e-01,2.999469935894012451e-01
-2.696059942245483398e-01,-7.535120248794555664e-01,3.018929958343505859e-01
-2.557660043239593506e-01,-6.749860048294067383e-01,3.075740039348602295e-01
-2.520940005779266357e-01,-6.816040277481079102e-01,3.075740039348602295e-01
-2.472240030765533447e-01,-6.968659758567810059e-01,2.996650040149688721e-01
-2.531700134277343750e-01,-6.773830056190490723e-01,3.002569973468780518e-01
-2.690320014953613281e-01,-7.621020078659057617e-01,3.018360137939453125e-01
-3.043699860572814941e-01,-7.762219905853271484e-01,3.075740039348602295e-01
4.631000012159347534e-02,-6.044579744338989258e-01,-1.036650016903877258e-01
5.054299905896186829e-02,-6.111189723014831543e-01,-1.016350015997886658e-01
4.598300158977508545e-02,-6.161460280418395996e-01,-1.001039966940879822e-01
6.085800006985664368e-02,-6.022999882698059082e-01,-1.043229997158050537e-01
6.251800060272216797e-02,-6.051949858665466309e-01,-1.034409999847412109e-01
2.801500074565410614e-02,-6.012279987335205078e-01,-1.046489998698234558e-01
6.131900101900100708e-02,-6.225389838218688965e-01,-9.815599769353866577e-02
4.620699957013130188e-02,-5.798230171203613281e-01,-1.107930019497871399e-01
6.445699930191040039e-02,-5.867379903793334961e-01,-1.088789999485015869e-01
7.575199753046035767e-02,-5.999130010604858398e-01,-1.050499975681304932e-01
3.344599902629852295e-02,-6.317890286445617676e-01,-9.533700346946716309e-02
2.814600057899951935e-02,-5.786780118942260742e-01,-1.111100018024444580e-01
4.724000021815299988e-02,-5.725139975547790527e-01,-1.128150001168251038e-01
8.337599784135818481e-02,-6.084929704666137695e-01,-1.024359986186027527e-01
5.474000051617622375e-02,-5.688959956169128418e-01,-1.138169988989830017e-01
7.530998438596725464e-03,-5.994719862937927246e-01,-1.051840037107467651e-01
8.350899815559387207e-02,-5.864830017089843750e-01,-1.089489981532096863e-01
8.599981665611267090e-04,-5.908799767494201660e-01,-1.077329963445663452e-01
9.482000023126602173e-02,-5.927630066871643066e-01,-1.072110012173652649e-01
6.244000047445297241e-02,-6.520310044288635254e-01,-8.877599984407424927e-02
8.417700231075286865e-02,-6.428290009498596191e-01,-9.183999896049499512e-02
9.755799919366836548e-02,-5.811060070991516113e-01,-1.104369983077049255e-01
7.803999632596969604e-02,-6.497030258178710938e-01,-8.955100178718566895e-02
-6.834000349044799805e-03,-6.247130036354064941e-01,-9.749300032854080200e-02
6.927199661731719971e-02,-6.551309823989868164e-01,-8.774399757385253906e-02
-7.582001388072967529e-03,-5.813879966735839844e-01,-1.103589981794357300e-01
2.753400057554244995e-02,-5.503460168838500977e-01,-1.189500018954277039e-01
8.223199844360351562e-02,-5.564190149307250977e-01,-1.172700002789497375e-01
8.033599704504013062e-02,-6.566209793090820312e-01,-8.724799752235412598e-02
6.686899811029434204e-02,-5.454400181770324707e-01,-1.202310025691986084e-01
8.420699834823608398e-02,-6.551629900932312012e-01,-8.773300051689147949e-02
1.043569967150688171e-01,-5.752620100975036621e-01,-1.120550036430358887e-01
-4.842559993267059326e-01,1.342259943485260010e-01,-1.361600030213594437e-02
-4.890849888324737549e-01,1.226999983191490173e-01,-1.374899968504905701e-02
-5.028010010719299316e-01,1.188720017671585083e-01,-1.412599999457597733e-02
-4.754939973354339600e-01,1.572870016098022461e-01,-1.337500009685754776e-02
-4.922100007534027100e-01,1.576849967241287231e-01,-1.383499987423419952e-02
-4.632570147514343262e-01,1.185399964451789856e-01,-1.303800009191036224e-02
-4.980480074882507324e-01,1.093449965119361877e-01,-1.399500016123056412e-02
-4.618659913539886475e-01,1.142230033874511719e-01,-1.300000026822090149e-02
-4.913609921932220459e-01,1.444779932498931885e-01,1.417500060051679611e-02
-4.536629915237426758e-01,1.339599937200546265e-01,-1.277399994432926178e-02
-4.950349926948547363e-01,1.631029993295669556e-01,-1.391300000250339508e-02
-4.654890000820159912e-01,1.093539968132972717e-01,-1.309899985790252686e-02
-5.024120211601257324e-01,1.088989973068237305e-01,-1.411600038409233093e-02
-4.755310118198394775e-01,1.252080053091049194e-01,1.530900131911039352e-02
-4.527480006217956543e-01,1.365880072116851807e-01,-1.274900045245885849e-02
-4.763480126857757568e-01,1.226520016789436340e-01,1.526699867099523544e-02
-5.020779967308044434e-01,1.398939937353134155e-01,1.335500087589025497e-02
-4.522680044174194336e-01,1.467549949884414673e-01,-1.273600012063980103e-02
-4.477440118789672852e-01,1.368999928236007690e-01,-1.261099986732006073e-02
-5.067269802093505859e-01,1.226650029420852661e-01,1.299900095909833908e-02
-4.778159856796264648e-01,9.744399785995483398e-02,-1.343899965286254883e-02
-4.957990050315856934e-01,1.711319983005523682e-01,-1.393400039523839951e-02
-5.215950012207031250e-01,1.238730028271675110e-01,-1.468400005251169205e-02
-5.230230093002319336e-01,1.366959959268569946e-01,-1.472999993711709976e-02
-5.106229782104492188e-01,1.050629988312721252e-01,-1.434099953621625900e-02
-5.063449740409851074e-01,1.152229979634284973e-01,1.302799861878156662e-02
-4.645679891109466553e-01,1.138940006494522095e-01,1.586800068616867065e-02
-4.555079936981201172e-01,1.409869939088821411e-01,1.633000001311302185e-02
-5.232909917831420898e-01,1.164759993553161621e-01,-1.473799999803304672e-02
-4.992229938507080078e-01,1.744239926338195801e-01,-1.402799971401691437e-02
-5.054720044136047363e-01,9.660899639129638672e-02,-1.420000009238719940e-02
-5.273820161819458008e-01,1.392039954662322998e-01,-1.487000007182359695e-02
