x,y,z,nx,ny,nz
-7.428599894046783447e-02,-1.138079985976219177e-01,-7.319999858736991882e-03,4.360000137239694595e-03,-0.000000000000000000e+00,-9.999909996986389160e-01
2.385599911212921143e-02,9.976119995117187500e-01,-6.481400132179260254e-02,0.000000000000000000e+00,6.834740042686462402e-01,-7.299739718437194824e-01
9.581239819526672363e-01,-2.843200042843818665e-02,-5.691099911928176880e-02,1.517840027809143066e-01,-0.000000000000000000e+00,9.884139895439147949e-01
-9.369689822196960449e-01,1.096999971196055412e-03,-3.109999932348728180e-02,-1.268700063228607178e-01,0.000000000000000000e+00,9.919189810752868652e-01
3.148399889469146729e-01,-7.779179811477661133e-01,3.040190041065216064e-01,-2.801319956779479980e-01,-9.599609971046447754e-01,-1.769999944372102618e-04
4.137000143527984619e-01,3.034819960594177246e-01,4.077000077813863754e-03,4.879840016365051270e-01,8.728529810905456543e-01,-0.000000000000000000e+00
-3.099820017814636230e-01,-7.088569998741149902e-01,3.075740039348602295e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.329199969768524170e-01,4.482460021972656250e-01,1.504500024020671844e-02,-4.721420109272003174e-01,8.815230131149291992e-01,0.000000000000000000e+00
4.631000012159347534e-02,-6.044579744338989258e-01,-1.036650016903877258e-01,0.000000000000000000e+00,-2.914699912071228027e-01,-9.565799832344055176e-01
-4.842559993267059326e-01,1.342259943485260010e-01,-1.361600030213594437e-02,2.750799991190433502e-02,0.000000000000000000e+00,-9.996219873428344727e-01
2.717299945652484894e-02,-4.507830142974853516e-01,2.834300100803375244e-01,-0.000000000000000000e+00,5.004469752311706543e-01,8.657670021057128906e-01
5.776999890804290771e-02,1.861959993839263916e-01,-1.828960031270980835e-01,5.009739995002746582e-01,0.000000000000000000e+00,-8.654620051383972168e-01
5.921499729156494141e-01,-7.100000046193599701e-03,-7.693999912589788437e-03,1.013249978423118591e-01,0.000000000000000000e+00,9.948530197143554688e-01
9.730400145053863525e-02,6.627330183982849121e-01,-1.557119935750961304e-01,0.000000000000000000e+00,1.157379969954490662e-01,-9.932799935340881348e-01
-4.856999963521957397e-03,-7.737219929695129395e-01,1.980070024728775024e-01,-9.950550198554992676e-01,1.400000019202707335e-05,9.932000190019607544e-02
-2.640399932861328125e-01,-6.714090108871459961e-01,-8.945000357925891876e-03,1.362199988216161728e-02,0.000000000000000000e+00,-9.999070167541503906e-01
2.552599906921386719e-01,4.185700044035911560e-02,4.342000000178813934e-03,0.000000000000000000e+00,-2.407429963350296021e-01,9.705889821052551270e-01
8.536700159311294556e-02,-3.139869868755340576e-01,-1.632580012083053589e-01,7.725179791450500488e-01,-7.599999662488698959e-05,-6.349930167198181152e-01
-1.947540044784545898e-01,1.635410040616989136e-01,-8.096000179648399353e-03,8.995000272989273071e-03,0.000000000000000000e+00,-9.999600052833557129e-01
3.018440008163452148e-01,-6.825079917907714844e-01,5.522000137716531754e-03,0.000000000000000000e+00,-1.000000000000000000e+00,-0.000000000000000000e+00
1.544419974088668823e-01,4.223229885101318359e-01,-8.744000457227230072e-03,-2.521600015461444855e-02,9.999999974752427079e-07,-9.996820092201232910e-01
