x,y,z
-7.428599894046783447e-02,-1.138079985976219177e-01,-7.319999858736991882e-03
-7.428599894046783447e-02,-1.138079985976219177e-01,-7.319999858736991882e-03
-7.428599894046783447e-02,-1.138079985976219177e-01,-7.319999858736991882e-03
-7.428599894046783447e-02,-1.138079985976219177e-01,-7.319999858736991882e-03
-7.428599894046783447e-02,-1.138079985976219177e-01,-7.319999858736991882e-03
-7.428599894046783447e-02,-1.138079985976219177e-01,-7.319999858736991882e-03
-7.428599894046783447e-02,-1.138079985976219177e-01,-7.319999858736991882e-03
-7.428599894046783447e-02,-1.138079985976219177e-01,-7.319999858736991882e-03
-7.428599894046783447e-02,-1.138079985976219177e-01,-7.319999858736991882e-03
-7.428599894046783447e-02,-1.138079985976219177e-01,-7.319999858736991882e-03
-8.086899667978286743e-02,-1.194370016455650330e-01,-7.348999846726655960e-03
-8.648999780416488647e-02,-1.177999973297119141e-01,-7.373000029474496841e-03
-7.043600082397460938e-02,-1.007720008492469788e-01,-7.302999962121248245e-03
-6.653200089931488037e-02,-1.049159988760948181e-01,2.438999712467193604e-03
-7.731100171804428101e-02,-9.606900066137313843e-02,-7.333000190556049347e-03
-8.580899983644485474e-02,-9.638699889183044434e-02,-7.369999773800373077e-03
-8.839000016450881958e-02,-9.735500067472457886e-02,-7.381000090390443802e-03
-7.329600304365158081e-02,-9.147600084543228149e-02,-7.315999828279018402e-03
-6.724199652671813965e-02,-9.340400248765945435e-02,2.438999712467193604e-03
-6.628700345754623413e-02,-1.201940029859542847e-01,-3.038999997079372406e-02
-5.737699940800666809e-02,-1.305959969758987427e-01,2.438999712467193604e-03
-8.751499652862548828e-02,-1.344230026006698608e-01,2.438999712467193604e-03
-6.896899640560150146e-02,-1.381780058145523071e-01,2.438999712467193604e-03
-6.818599998950958252e-02,-8.819399774074554443e-02,2.438999712467193604e-03
-6.787499785423278809e-02,-8.750999718904495239e-02,2.438999712467193604e-03
-7.060900330543518066e-02,-1.431390047073364258e-01,-7.304000202566385269e-03
-5.047399923205375671e-02,-1.283899992704391479e-01,2.438999712467193604e-03
-5.441100150346755981e-02,-9.228199720382690430e-02,2.438999712467193604e-03
-4.857299849390983582e-02,-9.877400100231170654e-02,2.438999712467193604e-03
-6.628700345754623413e-02,-1.080000028014183044e-01,-3.750599920749664307e-02
-9.695799648761749268e-02,-1.063719987869262695e-01,1.413199864327907562e-02
-9.812899678945541382e-02,-9.805999696254730225e-02,9.580999612808227539e-03
2.385599911212921143e-02,9.976119995117187500e-01,-6.481400132179260254e-02
2.172799967229366302e-02,9.866219758987426758e-01,-5.656199902296066284e-02
2.414599992334842682e-02,9.862859845161437988e-01,-7.541900128126144409e-02
2.483399957418441772e-02,9.819899797439575195e-01,-5.350499972701072693e-02
-2.430006861686706543e-04,9.924690127372741699e-01,-6.962899863719940186e-02
1.782299950718879700e-02,9.771950244903564453e-01,-5.034000054001808167e-02
4.304299876093864441e-02,9.804480075836181641e-01,-7.013499736785888672e-02
2.207100018858909607e-02,9.735900163650512695e-01,-4.796100035309791565e-02
1.177600026130676270e-02,9.776520133018493652e-01,-8.350300043821334839e-02
3.650299832224845886e-02,9.777389764785766602e-01,-8.342099934816360474e-02
3.932699933648109436e-02,9.728729724884033203e-01,-4.748699814081192017e-02
4.550499841570854187e-02,9.702789783477783203e-01,-6.080700084567070007e-02
4.488800093531608582e-02,9.728289842605590820e-01,-8.324699848890304565e-02
5.924999713897705078e-03,9.689379930496215820e-01,-4.489000141620635986e-02
3.587000072002410889e-02,9.636859893798828125e-01,-4.142399877309799194e-02
4.804600030183792114e-02,9.597849845886230469e-01,-5.692600086331367493e-02
2.873600088059902191e-02,9.607539772987365723e-01,-9.932400286197662354e-02
-1.350500062108039856e-02,9.606779813766479492e-01,-6.471999734640121460e-02
3.542299941182136536e-02,9.570140242576599121e-01,-1.028259992599487305e-01
-2.376999706029891968e-03,9.559440016746520996e-01,-3.631300106644630432e-02
-1.594699919223785400e-02,9.542319774627685547e-01,-6.667000055313110352e-02
4.987100139260292053e-02,9.522460103034973145e-01,-9.366399794816970825e-02
3.558199852705001831e-02,9.461429715156555176e-01,-2.984400093555450439e-02
-9.560000151395797729e-03,9.524070024490356445e-01,-3.397899866104125977e-02
4.504299908876419067e-02,9.516900181770324707e-01,-1.078109964728355408e-01
5.300199985504150391e-02,9.393119812011718750e-01,-8.234299719333648682e-02
7.050000131130218506e-03,9.431290030479431152e-01,-2.785500138998031616e-02
4.906199872493743896e-02,9.499250054359436035e-01,-1.094629988074302673e-01
3.661499917507171631e-02,9.470630288124084473e-01,-1.121430024504661560e-01
4.750899970531463623e-02,9.405649900436401367e-01,-2.616300061345100403e-02
-8.985999971628189087e-03,9.435549974441528320e-01,-2.813600003719329834e-02
1.048700045794248581e-02,9.363920092582702637e-01,-2.340799942612648010e-02
9.581239819526672363e-01,-2.843200042843818665e-02,-5.691099911928176880e-02
9.475160241127014160e-01,-2.333799935877323151e-02,-5.528200045228004456e-02
9.443240165710449219e-01,-2.433400042355060577e-02,-5.611899867653846741e-02
9.535250067710876465e-01,-1.353199966251850128e-02,-5.696399882435798645e-02
9.544820189476013184e-01,-1.297700032591819763e-02,-5.705099925398826599e-02
9.485939741134643555e-01,-1.576299965381622314e-02,-5.544700101017951965e-02
9.443659782409667969e-01,-4.316199943423271179e-02,-5.479799956083297729e-02
9.570360183715820312e-01,-4.929700121283531189e-02,-5.728600174188613892e-02
9.358549714088439941e-01,-3.002200089395046234e-02,-5.534100160002708435e-02
9.550769925117492676e-01,-5.330700054764747620e-02,-5.644299834966659546e-02
9.438660144805908203e-01,-5.281800031661987305e-02,-5.472100153565406799e-02
9.281960129737854004e-01,-4.154599830508232117e-02,-5.463799834251403809e-02
9.297320246696472168e-01,-1.054900139570236206e-02,-5.255100131034851074e-02
9.245979785919189453e-01,-4.021500051021575928e-02,-5.430699884891510010e-02
9.354159832000732422e-01,-8.140001446008682251e-04,-5.342299863696098328e-02
9.524959921836853027e-01,-6.497199833393096924e-02,-5.686900019645690918e-02
9.214820265769958496e-01,-3.873400017619132996e-02,-5.128400027751922607e-02
9.394040107727050781e-01,-6.450500339269638062e-02,-5.566700175404548645e-02
9.495519995689392090e-01,-7.081600278615951538e-02,-5.659899860620498657e-02
9.325090050697326660e-01,1.009999960660934448e-02,-5.503400042653083801e-02
9.176579713821411133e-01,-5.116799846291542053e-02,-5.367000028491020203e-02
9.280790090560913086e-01,-6.653399765491485596e-02,-5.229699984192848206e-02
9.325720071792602539e-01,-6.997299939393997192e-02,-5.298700183629989624e-02
9.577530026435852051e-01,-7.950100302696228027e-02,-5.685399845242500305e-02
9.223859906196594238e-01,-6.543900072574615479e-02,-5.142199993133544922e-02
9.194880127906799316e-01,8.717998862266540527e-03,-5.097800120711326599e-02
9.028099775314331055e-01,-2.947999909520149231e-02,-4.841599985957145691e-02
9.282709956169128418e-01,-7.814300060272216797e-02,-5.464499816298484802e-02
9.139670133590698242e-01,-6.585299968719482422e-02,-5.012999847531318665e-02
9.041979908943176270e-01,-5.017700046300888062e-02,-4.862900078296661377e-02
9.045699834823608398e-01,-5.486699938774108887e-02,-5.246800184249877930e-02
9.136639833450317383e-01,-6.911200284957885742e-02,-5.008300021290779114e-02
-9.369689822196960449e-01,1.096999971196055412e-03,-3.109999932348728180e-02
-9.299679994583129883e-01,7.470999844372272491e-03,-3.020500019192695618e-02
-9.276760220527648926e-01,-1.454799901694059372e-02,-3.218499943614006042e-02
-9.289370179176330566e-01,2.189799956977367401e-02,-3.202600032091140747e-02
-9.225590229034423828e-01,-1.631199941039085388e-02,-2.925699949264526367e-02
-9.120659828186035156e-01,2.646999899297952652e-03,-2.791500091552734375e-02
-9.111430048942565918e-01,-3.095000283792614937e-03,-3.127000108361244202e-02
-9.206489920616149902e-01,-2.201600000262260437e-02,-2.901300042867660522e-02
-9.391030073165893555e-01,-2.755399979650974274e-02,-3.176400065422058105e-02
-9.387279748916625977e-01,-2.948799915611743927e-02,-3.132500126957893372e-02
-9.101560115814208984e-01,1.806999929249286652e-02,-2.767099998891353607e-02
-9.140849709510803223e-01,-2.413300052285194397e-02,-2.817299962043762207e-02
-8.994579911231994629e-01,2.303000073879957199e-03,-3.062300011515617371e-02
-9.291179776191711426e-01,-3.650800138711929321e-02,-3.009600006043910980e-02
-9.080370068550109863e-01,-2.559399977326393127e-02,-3.109800070524215698e-02
-9.021030068397521973e-01,2.026000060141086578e-02,-2.664100006222724915e-02
-8.969950079917907715e-01,2.020000014454126358e-03,-2.598699927330017090e-02
-9.076799750328063965e-01,3.101900033652782440e-02,-3.107799962162971497e-02
-9.002879858016967773e-01,-1.923700049519538879e-02,-2.640799991786479950e-02
-8.950240015983581543e-01,1.868700049817562103e-02,-3.037800081074237823e-02
-9.244229793548583984e-01,-4.441900178790092468e-02,-2.949500083923339844e-02
-8.985279798507690430e-01,3.252200037240982056e-02,-3.057200089097023010e-02
-9.126780033111572266e-01,-4.258599877357482910e-02,-3.135500103235244751e-02
-9.184740185737609863e-01,-4.729399830102920532e-02,-2.873400039970874786e-02
-8.991720080375671387e-01,3.784200176596641541e-02,-2.956500090658664703e-02
-8.913379907608032227e-01,-2.644300088286399841e-02,-3.017400018870830536e-02
-8.801370263099670410e-01,4.982000216841697693e-03,-2.957499958574771881e-02
-8.912770152091979980e-01,-3.298899903893470764e-02,-3.016999922692775726e-02
-9.391030073165893555e-01,-5.611599981784820557e-02,-3.252200037240982056e-02
-9.241459965705871582e-01,-5.493900179862976074e-02,-3.198900073766708374e-02
-8.809300065040588379e-01,1.912599988281726837e-02,-2.393200062215328217e-02
-8.909159898757934570e-01,3.888100013136863708e-02,-3.015000000596046448e-02
4.137000143527984619e-01,3.034819960594177246e-01,4.077000077813863754e-03
4.132040143013000488e-01,3.037599921226501465e-01,-2.878000028431415558e-03
4.066250026226043701e-01,3.032169938087463379e-01,9.146000258624553680e-03
3.950259983539581299e-01,2.996259927749633789e-01,1.002999953925609589e-02
4.189130067825317383e-01,3.005680143833160400e-01,-1.672800071537494659e-02
4.295420050621032715e-01,2.870880067348480225e-01,7.399000227451324463e-03
4.343400001525878906e-01,2.919430136680603027e-01,-7.159998640418052673e-04
3.918820023536682129e-01,3.147549927234649658e-01,1.027000043541193008e-02
4.045810103416442871e-01,2.789829969406127930e-01,9.301999583840370178e-03
4.209060072898864746e-01,2.880020141601562500e-01,-1.891699992120265961e-02
4.286609888076782227e-01,2.947910130023956299e-01,-1.930000074207782745e-02
3.969509899616241455e-01,2.794750034809112549e-01,9.882999584078788757e-03
4.409010112285614014e-01,2.882750034332275391e-01,-1.238000113517045975e-03
4.334439933300018311e-01,2.924059927463531494e-01,-1.953599974513053894e-02
4.184159934520721436e-01,2.761729955673217773e-01,-1.879400014877319336e-02
4.045790135860443115e-01,2.672660052776336670e-01,9.301999583840370178e-03
4.355500042438507080e-01,2.721120119094848633e-01,6.940999999642372131e-03
4.006940126419067383e-01,2.667950093746185303e-01,9.597999975085258484e-03
4.255790114402770996e-01,2.658280134201049805e-01,7.701000198721885681e-03
4.093509912490844727e-01,2.710619866847991943e-01,-1.834700070321559906e-02
4.484100043773651123e-01,2.840769886970520020e-01,1.211000140756368637e-03
3.794369995594024658e-01,3.226389884948730469e-01,-8.326999843120574951e-03
4.028150141239166260e-01,2.684679925441741943e-01,-1.802399940788745880e-02
4.157159924507141113e-01,2.606750130653381348e-01,8.453000336885452271e-03
3.768300116062164307e-01,3.118349909782409668e-01,-1.680099964141845703e-02
4.210329949855804443e-01,2.658610045909881592e-01,-1.892299950122833252e-02
3.743239939212799072e-01,3.254959881305694580e-01,2.337000099942088127e-03
3.731209933757781982e-01,3.261680006980895996e-01,1.103399973362684250e-02
3.714070022106170654e-01,3.138180077075958252e-01,-1.656600087881088257e-02
3.697820007801055908e-01,3.078860044479370117e-01,-1.649500057101249695e-02
3.935720026493072510e-01,2.633740007877349854e-01,-1.756699942052364349e-02
4.534800052642822266e-01,2.734879851341247559e-01,5.574000068008899689e-03
-3.099820017814636230e-01,-7.088569998741149902e-01,3.075740039348602295e-01
-3.045090138912200928e-01,-7.135630249977111816e-01,3.075740039348602295e-01
-3.026359975337982178e-01,-7.231609821319580078e-01,3.051809966564178467e-01
-2.924169898033142090e-01,-7.119899988174438477e-01,3.075740039348602295e-01
-3.087390065193176270e-01,-7.267270088195800781e-01,3.057880103588104248e-01
-2.974289953708648682e-01,-7.247819900512695312e-01,3.075740039348602295e-01
-2.936759889125823975e-01,-6.961709856986999512e-01,3.075740039348602295e-01
-2.891719937324523926e-01,-7.034850120544433594e-01,3.038409948348999023e-01
-2.956089973449707031e-01,-6.916270256042480469e-01,3.044809997081756592e-01
-2.966350018978118896e-01,-6.891940236091613770e-01,3.056760132312774658e-01
