x,y,z
-1.329199969768524170e-01,4.482460021972656250e-01,1.504500024020671844e-02
2.717299945652484894e-02,-4.507830142974853516e-01,2.834300100803375244e-01
5.776999890804290771e-02,1.861959993839263916e-01,-1.828960031270980835e-01
5.921499729156494141e-01,-7.100000046193599701e-03,-7.693999912589788437e-03
9.730400145053863525e-02,6.627330183982849121e-01,-1.557119935750961304e-01
2.552599906921386719e-01,4.185700044035911560e-02,4.342000000178813934e-03
1.544419974088668823e-01,4.223229885101318359e-01,-8.744000457227230072e-03
-2.528999932110309601e-03,4.440169930458068848e-01,-1.687290072441101074e-01
1.839549988508224487e-01,-6.010509729385375977e-01,3.026899993419647217e-01
2.758000046014785767e-02,-5.962120294570922852e-01,1.018979996442794800e-01
5.486699938774108887e-02,2.903999947011470795e-02,2.622099965810775757e-02
-8.119100332260131836e-02,2.930920124053955078e-01,-9.870599955320358276e-02
-7.508700340986251831e-02,6.112499833106994629e-01,-1.260289996862411499e-01
-1.060070022940635681e-01,-5.681509971618652344e-01,-7.457999978214502335e-03
1.066640019416809082e-01,3.296470046043395996e-01,-1.279910057783126831e-01
-2.000740021467208862e-01,3.179390132427215576e-01,-8.143999613821506500e-03
1.000590026378631592e-01,5.277959704399108887e-01,-9.998799860477447510e-02
-8.077189922332763672e-01,6.533599644899368286e-02,-2.591500058770179749e-02
2.909269928932189941e-01,3.721199929714202881e-01,1.669700071215629578e-02
-7.428599894046783447e-02,-1.138079985976219177e-01,-7.319999858736991882e-03
2.385599911212921143e-02,9.976119995117187500e-01,-6.481400132179260254e-02
9.581239819526672363e-01,-2.843200042843818665e-02,-5.691099911928176880e-02
-9.369689822196960449e-01,1.096999971196055412e-03,-3.109999932348728180e-02
3.148399889469146729e-01,-7.779179811477661133e-01,3.040190041065216064e-01
4.137000143527984619e-01,3.034819960594177246e-01,4.077000077813863754e-03
-3.099820017814636230e-01,-7.088569998741149902e-01,3.075740039348602295e-01
4.631000012159347534e-02,-6.044579744338989258e-01,-1.036650016903877258e-01
-4.842559993267059326e-01,1.342259943485260010e-01,-1.361600030213594437e-02
-4.856999963521957397e-03,-7.737219929695129395e-01,1.980070024728775024e-01
-2.640399932861328125e-01,-6.714090108871459961e-01,-8.945000357925891876e-03
8.536700159311294556e-02,-3.139869868755340576e-01,-1.632580012083053589e-01
-1.947540044784545898e-01,1.635410040616989136e-01,-8.096000179648399353e-03
3.018440008163452148e-01,-6.825079917907714844e-01,5.522000137716531754e-03
-7.129299640655517578e-02,7.482010126113891602e-01,2.783700078725814819e-02
-5.320199951529502869e-02,-4.055030047893524170e-01,2.748800069093704224e-02
-6.886510252952575684e-01,-3.715899959206581116e-02,-1.319700013846158981e-02
7.816000282764434814e-02,-5.036799982190132141e-02,-1.710930019617080688e-01
-3.553160130977630615e-01,3.291310071945190430e-01,1.673300005495548248e-02
2.702400088310241699e-02,2.249400019645690918e-01,4.335499927401542664e-02
-1.206689998507499695e-01,-6.110879778861999512e-01,3.075740039348602295e-01
5.964369773864746094e-01,2.013179957866668701e-01,-2.686399966478347778e-02
7.903900146484375000e-01,9.288600087165832520e-02,-3.996599838137626648e-02
-5.276700109243392944e-02,8.197680115699768066e-01,-1.660259962081909180e-01
1.040169969201087952e-01,-2.119809985160827637e-01,1.491300016641616821e-02
5.287000164389610291e-02,5.917260050773620605e-01,2.627100050449371338e-02
2.336529940366744995e-01,2.391590029001235962e-01,-1.113099977374076843e-02
-7.433299720287322998e-02,5.860099941492080688e-02,-1.339990049600601196e-01
-6.849809885025024414e-01,1.525640040636062622e-01,-1.850599981844425201e-02
4.402090013027191162e-01,9.152899682521820068e-02,6.585999857634305954e-03
-7.966800034046173096e-02,-2.581160068511962891e-01,-1.180040016770362854e-01
-3.550900146365165710e-02,-4.436370134353637695e-01,-1.436409950256347656e-01
-3.376869857311248779e-01,4.445600137114524841e-02,4.987000022083520889e-03
7.361000031232833862e-02,8.413000106811523438e-01,2.011599950492382050e-02
9.661699831485748291e-02,-4.574899971485137939e-01,-3.354100137948989868e-02
1.346320062875747681e-01,-6.825079917907714844e-01,7.660999894142150879e-03
3.663099929690361023e-02,-6.636440157890319824e-01,3.075740039348602295e-01
7.965859770774841309e-01,-6.466100364923477173e-02,-3.236800059676170349e-02
6.403000093996524811e-03,3.806340098381042480e-01,4.422799870371818542e-02
-1.162519976496696472e-01,3.042200021445751190e-02,1.599299907684326172e-02
-5.475689768791198730e-01,6.054999772459268570e-03,4.879000131040811539e-03
6.887900084257125854e-02,8.973050117492675781e-01,-1.561439931392669678e-01
1.110439971089363098e-01,9.265600144863128662e-02,-8.909499645233154297e-02
-3.332090079784393311e-01,1.885090023279190063e-01,2.256700024008750916e-02
-3.900200128555297852e-02,-1.295929998159408569e-01,-1.762029975652694702e-01
